tid_type,snr_db,epsilon,gt_lag,tid_period_s,fft_lag,fft_err,fft_r,autocorr_lag,autocorr_err,autocorr_r,trial
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9331785345684394,290.0,-10.0,0.9335128553996473,0
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9804399931484155,290.0,-10.0,0.9800255387708802,1
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9764935505736401,290.0,-10.0,0.9761355906971692,2
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9598076726553602,290.0,-10.0,0.9600633497562014,3
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9491744066014068,290.0,-10.0,0.9493554643456786,4
MSTID,30,0.0,300.0,1200,300.0,0.0,0.965973292241087,290.0,-10.0,0.9662730851163286,5
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9849880586795913,290.0,-10.0,0.9847993711769312,6
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9733064979809712,290.0,-10.0,0.9731328407380876,7
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9773593073558564,290.0,-10.0,0.9772985595238798,8
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9806501547953103,290.0,-10.0,0.9808785171793388,9
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9549484759282987,290.0,-10.0,0.9552226177714213,10
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9667717462243391,290.0,-10.0,0.9668485135912436,11
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9597145065712293,290.0,-10.0,0.9596151977235294,12
MSTID,30,0.0,300.0,1200,300.0,0.0,0.950870010232082,290.0,-10.0,0.9506699539232588,13
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9325823519339215,290.0,-10.0,0.9325232607933948,14
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9818524225269414,290.0,-10.0,0.9815026268101686,15
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9614694309138223,290.0,-10.0,0.9614504016837355,16
MSTID,30,0.0,300.0,1200,300.0,0.0,0.9562436028625647,290.0,-10.0,0.956151538014302,17
MSTID,30,0.0,300.0,1200,300.0,0.0,0.964783281730351,290.0,-10.0,0.9648289947648302,18
