tid_type,snr_db,epsilon,gt_lag,tid_period_s,fft_lag,fft_err,fft_r,autocorr_lag,autocorr_err,autocorr_r,trial
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8475043676714146,1320.0,0.0,0.8470225639439932,0
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7781912594733046,1320.0,0.0,0.7773943413775302,1
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7879254643290081,1320.0,0.0,0.7876975918538042,2
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.786756725504219,1320.0,0.0,0.7876065416560962,3
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8570628830757,1320.0,0.0,0.8543817573850521,4
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8472476059209791,1320.0,0.0,0.8472898120687997,5
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7773971548219376,1320.0,0.0,0.7772963505462122,6
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8473114464504653,1320.0,0.0,0.8469659347152749,7
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8097612253872742,1320.0,0.0,0.8168000401860536,8
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7773398298472264,1320.0,0.0,0.7769136293553603,9
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8505779620475004,1320.0,0.0,0.8503507916389653,10
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8232543466949076,1320.0,0.0,0.8244083955730369,11
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7765967053553496,1320.0,0.0,0.7766404058480662,12
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.823172775266703,1320.0,0.0,0.8228573899399073,13
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8460890031578514,1320.0,0.0,0.8467505912426404,14
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7767550245395388,1320.0,0.0,0.776246281757622,15
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7826575782859119,1320.0,0.0,0.7830603885527958,16
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7828232202534197,1320.0,0.0,0.7822154571056696,17
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7812933995418899,1320.0,0.0,0.7806499529085198,18
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7906943693322445,1320.0,0.0,0.7902348152624717,19
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7774585453415522,1320.0,0.0,0.7773880447886322,20
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8527310651158007,1320.0,0.0,0.8466072842498242,21
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7807142298368593,1320.0,0.0,0.7802027676045065,22
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8572263716731908,1320.0,0.0,0.8565737199070207,23
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8055754378015642,1320.0,0.0,0.805019090192309,24
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8209062971612622,1320.0,0.0,0.8214751726002626,25
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.77827393265014,1320.0,0.0,0.7773834741929377,26
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.7872926047506442,1320.0,0.0,0.7896499184961788,27
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8438754838090027,1320.0,0.0,0.8438581012437942,28
LSTID,40,0.0,1320.0,3480,1320.0,0.0,0.8467758832310394,1320.0,0.0,0.8466960240907635,29
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.825909493120239,1320.0,0.0,0.8244035961984302,0
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.7870938555824768,1320.0,0.0,0.791580495057119,1
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.8089237002530655,1320.0,0.0,0.8054989071735481,2
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.7766869003654275,1320.0,0.0,0.7766497347700866,3
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.8483546100309592,1320.0,0.0,0.8456232118896171,4
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.8467811903916154,1320.0,0.0,0.847070622609273,5
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.7832022626436281,1320.0,0.0,0.7830778058932286,6
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.7775839784507899,1320.0,0.0,0.7765185748449542,7
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.834573352292825,1320.0,0.0,0.8349576580198368,8
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.846481953493295,1320.0,0.0,0.8477703848687511,9
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.8476326837712848,1320.0,0.0,0.848330914027541,10
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.8218171227737291,1320.0,0.0,0.8223260433378207,11
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.843417264037731,1320.0,0.0,0.8449208331953741,12
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.8207175818374343,1320.0,0.0,0.82065823946984,13
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.8457930032265804,1320.0,0.0,0.8465020347788579,14
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.7776332812818164,1320.0,0.0,0.7771780650975147,15
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.816356451955065,1320.0,0.0,0.816068733975072,16
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.7773083062217261,1320.0,0.0,0.7770935094105469,17
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.7828285238604042,1320.0,0.0,0.7826195429099264,18
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.8445563926876698,1320.0,0.0,0.844568336118608,19
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.777924496106716,1320.0,0.0,0.7767865372743349,20
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.8139937537656342,1320.0,0.0,0.8138823427315973,21
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.7782806916979192,1320.0,0.0,0.7774922667747236,22
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.7828232202534197,1320.0,0.0,0.7822378780078085,23
LSTID,40,0.1,1320.0,3480,1320.0,0.0,0.8230888733285867,1320.0,0.0,0.8229569428170379,24
